FinnGen_Phenocode,UKB_Description,ICD10_Codes,Cohort,Type,UKB_Description_For_Plots
AB1_ANOGENITAL_HERPES_SIMPLEX,Anogenital herpesviral [herpes simplex] infection,A60,UKB,virus,Anogenital Herpes Simplex Virus
AB1_BACT_BIR_OTHER_INF_AGENTS,"Bacterial, viral and other infectious agents","B95,B96,B97",UKB,virus,"Bacterial, Viral and Other Infectious agents"
AB1_EBV,Infectious mononucleosis,B27,UKB,virus,Infectious Mononucleosis
AB1_HERPES_SIMPLEX,Herpesviral [herpes simplex] infections,B00,UKB,virus,Herpes Simplex Virus
AB1_OTHER_VIRAL,Other viral diseases,"B25,B26,B27,B28,B29,B30,B31,B32,B33,B34",UKB,virus,Other Viral Diseases
AB1_VARICELLA,Varicella [chickenpox],B01,UKB,virus,Chickenpox
AB1_VIRAL_CNS,Viral infections of the central nervous system,"A80,A81,A82,A83,A84,A85,A86,A87,A88,A89",UKB,virus,CNS Viral Infections
AB1_VIRAL_ENCEPHALITIS_NOS,"Viral encephalitis, not elsewhere classified/unspecified","A85,A86",UKB,virus,"Viral Encephalitis, NOS"
AB1_VIRAL_HEMOR_FEVER_NOS,"Viral haemorrhagic fevers, not elsewhere classified/unspecified","A98,A99",UKB,virus,"Viral Haemorrhagic Fevers, NOS"
AB1_VIRAL_HEPATITIS,Viral hepatitis,"B15,B16,B17,B18,B19",UKB,virus,Viral Hepatitis
AB1_VIRAL_INOTHER,Viral agents as the cause of diseases classified to other chapters,B97,UKB,virus,Viral Agents Etiology
AB1_VIRAL_MENINGITIS,Viral meningitis,A87,UKB,virus,Viral Meningitis
AB1_VIRAL_NOS,"Other viral diseases, not elsewhere classified","B33,B34",UKB,virus,"Other viral diseases, NOS"
AB1_VIRAL_OTHER_INTEST_INFECTIONS,Viral and other specified intestinal infections,A08,UKB,virus,Viral and other specified intestinal infections
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,Viral infections characterized by skin and mucous membrane lesions,"B00,B01,B02,B03,B04,B05,B06,B07,B08,B09",UKB,virus,Skin & Mucous Membrane Lesion Viral infections
AB1_VIRAL_WARTS,Viral warts,B07,UKB,virus,Viral Warts
AB1_ZOSTER,Zoster [herpes zoster],B02,UKB,virus,Shingles
E4_THYROIDITSUBAC,Subacute thyroiditis,E06,UKB,virus,Subacute Thyroiditis
G6_BELLPA,Bell's palsy,G51,UKB,virus,Bell's Palsy
G6_ENCEPHOTH,Other encephalitis,"G04,G05",UKB,virus,Other Encephalitis
G6_MENINGBACT,Bacterial meningitis,"G00,G01",UKB,virus,Bacterial Meningitis
G6_MENINGOTH,Other meningitis,"G02,G03",UKB,virus,Other Meningitis
H7_HERPESKERATITIS,Herpesviral keratitis and keratoconjunctivitis,"H19,B00",UKB,virus,Herpesviral Keratitis and Keratoconjunctivitis
I9_MYOCARD,Myocarditis,"I40,I41",UKB,virus,Myocarditis
INFLUENZA,All influenza (not Pneumonia),"J10,J11",UKB,virus,All influenza (not Pneumonia)
J10_COLD,Acute nasopharyngitis(common cold),J00,UKB,virus,Common Cold
J10_INFLUENZA,All influenza,"J09,J10,J11",UKB,virus,All Influenza
J10_INFLUPNEU,Influenza and pneumonia,"J09,J10,J11,J12,J13,J14,J15,J16,J17,J18",UKB,virus,Influenza (with Pneumonia)
J10_VIRALPNEUMO,Viral pneumonia,"J12,J17,J10,J11,B01,B06,B25",UKB,virus,Viral Pneumonia
K11_CHRONHEP,"Chronic hepatitis, not elsewhere classified",K73,UKB,virus,"Chronic Hepatitis, NOS"
L12_ERYTHEMAMULTIF,Erythema multiforme,L51,UKB,virus,Erythema Multiforme
MENINGITIS,Meningitis,"G00,G01,G02,G03,A87,B00,B01,B02,B05,B06,B26,B27",UKB,virus,Meningitis
G6_MENINGVIR,Viral meningitis,"G02,A87,B00,B01,B02,B05,B06,B26,B27",UKB,virus,Viral Meningitis
D3_OTHERAPLASTICANAEMIA,Aplastic anemia,D61,UKB,autoimmune,Aplastic Anemia
D3_ITP,Idiopathic thrombocytopenic purpura,D69,UKB,autoimmune,Idiopathic Thrombocytopenic Purpura
D3_SARCOIDOSIS,Sarcoidosis,D86,UKB,autoimmune,Sarcoidosis
E4_GRAVES_STRICT,Graves' disease / Autoimmune thyroiditis,"E05,E06",UKB,autoimmune,Graves' disease / Autoimmune thyroiditis
E4_DM1,Diabetes mellitus (Type I),E10,UKB,autoimmune,Diabetes Mellitus (Type I)
